Player_name,Batting_style,Bowling_syle,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat_bowl,Inns_bowl,Balls_bowl,Runs_bowl,Wkts_bowl,BBI_bowl,BBM_bowl,Ave_bowl,Econ_bowl,SR_bowl,4w_bowl,5w_bowl,10_bowl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moeen Ali,Left-hand bat,Right-arm offbreak,99,80,13,1744,128,26.02,1668,104.55,3,5,153,59,31,0,99,93,4558,4007,83,Apr-46,Apr-46,48.27,5.27,54.9,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzarri Joseph,Right-hand bat,Right-arm fast-medium,16,8,5,104,29*,34.66,121,85.95,0,0,6,4,5,0,16,15,757,818,24,May-56,May-56,34.08,6.48,31.5,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Taylor,Right-hand bat,Right-arm fast,90,42,9,278,43*,8.42,323,86.06,0,0,31,5,20,0,90,88,4341,3780,128,May-48,May-48,29.53,5.22,33.9,3,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evin Lewis,Left-hand bat,,20,20,1,637,125*,33.52,389,163.75,2,4,38,54,7,0,20,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam Plunkett,Right-hand bat,Right-arm fast,85,47,17,620,56,20.66,603,102.81,0,1,51,18,26,0,85,83,3921,3841,128,May-52,May-52,30,5.87,30.6,6,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adil Rashid,Right-hand bat,Legbreak,93,39,12,546,69,20.22,540,101.11,0,1,60,6,27,0,93,87,4557,4290,137,May-27,May-27,31.31,5.64,33.2,7,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Curran,Right-hand bat,Right-arm fast-medium,17,11,7,178,47*,44.5,166,107.22,0,0,18,4,4,0,17,17,762,805,27,May-35,May-35,29.81,6.33,28.2,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Ball,Right-hand bat,Right-arm fast-medium,18,6,2,38,28,9.5,49,77.55,0,0,6,0,5,0,18,18,947,980,21,May-51,May-51,46.66,6.2,45,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Root,Right-hand bat,"Right-arm offbreak, Legbreak",137,129,20,5667,133*,51.99,6449,87.87,16,32,459,43,68,0,137,62,1384,1336,22,Mar-52,Mar-52,60.72,5.79,62.9,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Roy,Right-hand bat,,32,32,0,743,78,23.21,512,145.11,0,4,75,35,5,0,32,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Nurse,Right-hand bat,Right-arm offbreak,13,8,6,85,20*,42.5,71,119.71,0,0,7,3,6,0,13,13,240,318,8,02-Jun,02-Jun,39.75,7.95,30,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonny Bairstow,Right-hand bat,Right-arm medium,68,62,8,2547,141*,47.16,2403,105.99,7,11,284,55,33,2,68,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rovman Powell,Right-hand bat,Right-arm medium-fast,20,15,2,221,50,17,191,115.7,0,1,18,8,9,0,20,4,48,74,2,Jan-20,Jan-20,37,9.25,24,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Mohammed,Right-hand bat,Right-arm offbreak,9,8,3,90,23*,18,103,87.37,0,0,9,1,1,0,9,2,12,13,0,-,-,-,6.5,-,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunil Ambris,Right-hand bat,,6,5,2,316,148,105.33,300,105.33,1,1,38,1,2,0,6,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlon Samuels,Right-hand bat,Right-arm offbreak,207,196,26,5606,133*,32.97,7463,75.11,10,30,526,118,50,0,207,134,5091,4127,89,03-Dec,03-Dec,46.37,4.86,57.2,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Hope,Right-hand bat,Right-arm offbreak,7,6,0,138,46,23,192,71.87,0,0,20,0,1,0,7,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Najeeb Tarakai,Right-hand bat,Right-arm offbreak,10,10,0,233,90,23.3,178,130.89,0,1,21,11,0,0,10,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shai Hope,Right-hand bat,,59,54,6,2433,170,50.68,3216,75.65,6,12,186,40,58,9,59,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fareed Ahmad,Left-hand bat,Left-arm fast-medium,11,-,-,-,-,-,-,-,-,-,-,-,1,0,11,11,240,320,14,Mar-35,Mar-35,22.85,8,17.1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Gayle,Left-hand bat,Right-arm offbreak,294,287,17,10258,215,37.99,11754,87.27,25,52,1108,318,123,0,294,197,7376,5890,165,May-46,May-46,35.69,4.79,44.7,3,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Coulter-Nile,Right-hand bat,Right-arm fast,28,15,4,150,34,13.63,120,125,0,0,10,10,13,0,28,27,582,802,34,Apr-31,Apr-31,23.58,8.26,17.1,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Lyon,Right-hand bat,Right-arm offbreak,25,11,8,69,30,23,73,94.52,0,0,7,2,6,0,25,25,1422,1153,26,Apr-44,Apr-44,44.34,4.86,54.6,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Abbas,Right-hand bat,Right-arm medium-fast,3,-,-,-,-,-,-,-,-,-,-,-,0,0,3,3,162,153,1,Jan-44,Jan-44,153,5.66,162,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usman Shinwari,Right-hand bat,Left-arm medium-fast,15,3,3,2,2*,-,3,66.66,0,0,0,0,1,0,15,15,282,381,13,Mar-31,Mar-31,29.3,8.1,21.6,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasir Shah,Right-hand bat,Legbreak googly,25,13,6,127,32*,18.14,149,85.23,0,0,9,1,6,0,25,24,1293,1150,24,Jun-26,Jun-26,47.91,5.33,53.8,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imad Wasim,Left-hand bat,Slow left-arm orthodox,35,23,9,187,24*,13.35,123,152.03,0,0,18,7,14,0,35,35,780,762,39,May-14,May-14,19.53,5.86,20,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saad Ali,Left-hand bat,Right-arm medium,58,95,10,3979,232,46.81,7620,52.21,11,18,538,10,63,0,58,16,366,256,3,01-Jan,01-Nov,85.33,4.19,122,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umar Akmal,Right-hand bat,,121,110,17,3194,102*,34.34,3712,86.04,2,20,268,53,77,13,121,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abid Ali,Right-hand bat,Legbreak,102,189,14,6700,231*,38.28,13802,48.54,17,31,914,5,83,0,102,7,77,40,2,01-Feb,01-Feb,20,3.11,38.5,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Rizwan,Right-hand bat,,32,28,7,705,115,33.57,787,89.58,2,3,61,6,29,1,32,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haris Sohail,Left-hand bat,Slow left-arm orthodox,35,34,5,1328,130,45.79,1599,83.05,2,10,108,18,13,0,35,21,642,613,11,Mar-45,Mar-45,55.72,5.72,58.3,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shan Masood,Left-hand bat,Right-arm medium-fast,5,5,0,111,50,22.2,145,76.55,0,1,12,0,1,0,5,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Behrendorff,Right-hand bat,Left-arm fast-medium,7,-,-,-,-,-,-,-,-,-,-,-,4,0,7,6,96,117,7,Apr-21,Apr-21,16.71,7.31,13.7,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Handscomb,Right-hand bat,,21,19,1,628,117,34.88,637,98.58,1,4,46,6,14,0,21,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kane Richardson,Right-hand bat,Right-arm fast-medium,9,2,0,9,9,4.5,8,112.5,0,0,0,0,4,0,9,9,204,299,9,Mar-33,Mar-33,33.22,8.79,22.6,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Carey,Left-hand bat,,19,13,4,125,37*,13.88,101,123.76,0,0,10,4,11,5,19,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Stoinis,Right-hand bat,Right-arm medium,19,14,5,136,33*,15.11,117,116.23,0,0,14,2,7,0,19,15,230,319,9,Feb-27,Feb-27,35.44,8.32,25.5,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Maxwell,Right-hand bat,Right-arm offbreak,105,95,11,2798,102,33.3,2266,123.47,1,19,283,89,63,0,105,82,2584,2410,50,Apr-46,Apr-46,48.2,5.59,51.6,2,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaun Marsh,Left-hand bat,Slow left-arm orthodox,73,72,4,2773,151,40.77,3406,81.41,7,15,247,36,22,0,73,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulbadin Naib,Right-hand bat,Right-arm medium-fast,38,31,9,432,56*,19.63,357,121,0,1,31,20,17,0,38,21,264,394,9,Feb-24,Feb-24,43.77,8.95,29.3,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Finch,Right-hand bat,Slow left-arm orthodox,114,110,2,4395,153*,40.69,4906,89.58,14,23,436,108,58,0,114,18,260,232,4,01-Feb,01-Feb,58,5.35,65,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usman Khawaja,Left-hand bat,Right-arm medium,36,35,2,1336,104,40.48,1604,83.29,2,10,131,13,11,0,36,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aftab Alam,Right-hand bat,Right-arm medium-fast,12,5,3,2,1*,1,9,22.22,0,0,0,0,3,0,12,12,245,324,11,Feb-23,Feb-23,29.45,7.93,22.2,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashid Khan,Right-hand bat,Legbreak googly,64,49,9,870,60*,21.75,845,102.95,0,4,79,27,20,0,64,60,3138,2141,128,Jul-18,Jul-18,16.72,4.09,24.5,4,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Nabi,Right-hand bat,Right-arm offbreak,117,105,11,2629,116,27.96,3038,86.53,1,13,162,86,52,0,117,113,5505,3947,122,Apr-30,Apr-30,32.35,4.3,45.1,3,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hashmatullah Shahidi,Left-hand bat,Right-arm offbreak,36,36,6,1030,97*,34.33,1590,64.77,0,9,88,3,7,0,36,2,18,25,0,-,-,-,8.33,-,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asghar Afghan,Right-hand bat,Right-arm medium-fast,104,98,9,2122,101,23.84,3262,65.05,1,11,146,52,24,0,104,7,139,91,3,01-Jan,01-Jan,30.33,3.92,46.3,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samiullah Shinwari,Right-hand bat,Legbreak,62,55,10,985,61,21.88,829,118.81,0,2,73,37,18,0,62,38,634,688,28,May-13,May-13,24.57,6.51,22.6,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shakib Al Hasan,Left-hand bat,Slow left-arm orthodox,202,190,27,6101,134*,37.42,7380,82.66,9,44,557,42,48,0,202,199,10301,7680,254,May-47,May-47,30.23,4.47,40.5,8,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Shahzad,Right-hand bat,,84,84,3,2727,131*,33.66,3082,88.48,6,14,323,55,64,25,84,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ihsanullah,Right-hand bat,,16,16,2,307,57*,21.92,440,69.77,0,3,38,6,10,0,16,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahmat Shah,Right-hand bat,Legbreak googly,66,62,2,2098,114,34.96,2996,70.02,4,14,174,24,18,0,66,24,488,475,13,May-32,May-32,36.53,5.84,37.5,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hasan Ali,Right-hand bat,Right-arm medium-fast,53,29,9,280,59,14,247,113.36,0,2,18,17,12,0,53,51,2548,2381,82,May-34,May-34,29.03,5.6,31,1,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Najmul Hossain Shanto,Left-hand bat,Right-arm offbreak,3,3,0,20,7,6.66,45,44.44,0,0,0,0,2,0,3,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asif Ali,Right-hand bat,Right-arm medium-fast,20,19,6,280,41*,21.53,204,137.25,0,0,12,18,8,0,20,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Nawaz,Left-hand bat,Slow left-arm orthodox,14,12,3,199,53,22.11,213,93.42,0,1,15,3,4,0,14,14,675,583,16,Apr-42,Apr-42,36.43,5.18,42.1,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadab Khan,Right-hand bat,Legbreak,37,19,8,324,54,29.45,471,68.78,0,3,19,4,8,0,37,35,1741,1428,49,Apr-28,Apr-28,29.14,4.92,35.5,3,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babar Azam,Right-hand bat,Right-arm offbreak,68,66,9,2902,125*,50.91,3370,86.11,9,13,245,27,34,0,68,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarfaraz Ahmed,Right-hand bat,,110,84,19,2243,105,34.5,2547,88.06,2,11,169,12,106,23,110,1,12,15,0,-,-,-,7.5,-,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoaib Malik,Right-hand bat,Right-arm offbreak,287,258,40,7534,143,34.55,9199,81.9,9,44,603,113,98,0,287,217,7958,6192,158,Apr-19,Apr-19,39.18,4.66,50.3,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fakhar Zaman,Left-hand bat,Slow left-arm orthodox,40,40,4,1762,210*,48.94,1807,97.5,4,11,206,29,17,0,40,7,135,111,1,Jan-19,Jan-19,111,4.93,135,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imam-ul-Haq,Left-hand bat,,32,32,5,1493,151,55.29,1862,80.18,6,6,114,15,6,0,32,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhuvneshwar Kumar,Right-hand bat,Right-arm medium,108,49,15,523,53*,15.38,697,75.03,0,1,44,8,26,0,108,107,5175,4311,123,May-42,May-42,35.04,4.99,42,3,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mominul Haque,Left-hand bat,Slow left-arm orthodox,28,26,1,557,60,22.28,749,74.36,0,3,60,1,4,0,28,12,234,190,7,Feb-13,Feb-13,27.14,4.87,33.4,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuldeep Yadav,Left-hand bat,Slow left-arm chinaman,47,18,10,100,19,12.5,171,58.47,0,0,8,0,5,0,47,45,2466,2025,90,Jun-25,Jun-25,22.5,4.92,27.4,4,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasprit Bumrah,Right-hand bat,Right-arm fast-medium,52,10,5,18,10*,3.6,42,42.85,0,0,2,1,16,0,52,52,2673,2031,90,May-27,May-27,22.56,4.55,29.7,4,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kedar Jadhav,Right-hand bat,Right-arm offbreak,9,6,0,122,58,20.33,99,123.23,0,1,12,3,1,0,9,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni,Right-hand bat,Right-arm medium,344,292,82,10562,183*,50.29,12054,87.62,10,71,811,225,315,121,344,2,36,31,1,Jan-14,Jan-14,31,5.16,36,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravindra Jadeja,Left-hand bat,Slow left-arm orthodox,151,101,33,2035,87,29.92,2416,84.23,0,10,155,37,53,0,151,147,7669,6245,174,May-36,May-36,35.89,4.88,44,7,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohit Sharma,Right-hand bat,Right-arm offbreak,209,203,32,8329,264,48.7,9434,88.28,24,42,729,224,74,0,209,38,593,515,8,Feb-27,Feb-27,64.37,5.21,74.1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinesh Karthik,Right-hand bat,,91,77,21,1738,79,31.03,2358,73.7,0,9,174,15,61,7,91,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambati Rayudu,Right-hand bat,Right-arm offbreak,6,5,1,42,20,10.5,50,84,0,0,5,0,4,0,6,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikhar Dhawan,Left-hand bat,Right-arm offbreak,130,129,7,5480,143,44.91,5830,93.99,17,27,683,67,61,0,130,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mustafizur Rahman,Left-hand bat,Left-arm fast-medium,50,23,16,57,18*,8.14,116,49.13,0,0,6,0,9,0,50,49,2483,2098,90,Jun-43,Jun-43,23.31,5.06,27.5,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubel Hossain,Right-hand bat,Right-arm fast,97,49,23,123,17,4.73,226,54.42,0,0,12,2,17,0,97,95,4330,4060,123,Jun-26,Jun-26,33,5.62,35.2,7,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nazmul Islam,Left-hand bat,Slow left-arm orthodox,5,1,0,7,7,7,13,53.84,0,0,0,0,2,0,5,5,264,224,5,Feb-38,Feb-38,44.8,5.09,52.8,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmudullah,Right-hand bat,Right-arm offbreak,179,154,42,3851,128*,34.38,5053,76.21,3,20,301,53,60,0,179,132,4066,3501,76,03-Apr,03-Apr,46.06,5.16,53.5,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soumya Sarkar,Left-hand bat,Right-arm medium-fast,48,47,3,1565,127*,35.56,1554,100.7,2,10,183,41,27,0,48,9,144,138,1,Jan-19,Jan-19,138,5.75,144,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mashrafe Mortaza,Right-hand bat,Right-arm fast-medium,213,153,27,1757,51*,13.94,2013,87.28,0,1,149,59,60,0,213,213,10627,8584,266,Jun-26,Jun-26,32.27,4.84,39.9,7,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Mithun,Right-hand bat,,21,18,2,467,63,29.18,604,77.31,0,4,39,12,6,0,21,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liton Das,Right-hand bat,,29,29,2,678,121,25.11,773,87.71,1,3,74,11,19,3,29,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mushfiqur Rahim,Right-hand bat,,209,195,32,5700,144,34.96,7281,78.28,6,34,456,79,173,42,209,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imrul Kayes,Left-hand bat,,78,78,2,2434,144,32.02,3423,71.1,4,16,238,37,21,0,78,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mehidy Hasan,Right-hand bat,Right-arm offbreak,32,19,3,315,51,19.68,425,74.11,0,1,30,3,10,0,32,31,1621,1228,34,Apr-29,Apr-29,36.11,4.54,47.6,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noor Ali Zadran,Right-hand bat,Right-arm medium-fast,20,20,1,506,63,26.63,497,101.81,0,3,45,6,4,0,20,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kesrick Williams,Right-hand bat,Right-arm fast-medium,18,5,2,6,3,2,10,60,0,0,0,0,6,0,18,18,379,526,30,Apr-28,Apr-28,17.53,8.32,12.6,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devendra Bishoo,Left-hand bat,Legbreak,42,25,10,164,29*,10.93,263,62.35,0,0,17,1,7,0,42,40,2022,1668,38,Mar-30,Mar-30,43.89,4.94,53.2,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Hamza,Right-hand bat,Slow left-arm orthodox,31,9,5,40,21,10,38,105.26,0,0,3,1,0,0,31,31,636,716,29,Mar-39,Mar-39,24.68,6.75,21.9,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Willey,Left-hand bat,Left-arm fast-medium,28,19,7,166,29*,13.83,126,131.74,0,0,8,10,12,0,28,28,557,761,34,04-Jul,04-Jul,22.38,8.19,16.3,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shafiqullah,Right-hand bat,,44,40,11,455,51*,15.68,310,146.77,0,1,32,29,13,2,44,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usman Ghani,Right-hand bat,,19,19,1,445,73,24.72,407,109.33,0,3,44,12,10,0,19,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
